Field,Type,Null,Key,Default,Extra
id,varchar(20),NO,PRI,NULL,
amount,"double(8,2)",NO,,NULL,
currency,varchar(255),YES,,NULL,
payment_method,varchar(255),NO,,NULL,
provider,varchar(255),YES,,NULL,
status,varchar(10),NO,,inprogress,
created_at,timestamp,YES,,NULL,
updated_at,timestamp,YES,,NULL,
type,varchar(13),YES,,article,
object_id,varchar(20),YES,,NULL,
payment_date,datetime,YES,,NULL,
user_id,varchar(20),YES,,NULL,
reference,varchar(255),YES,,NULL,
product_state_id,varchar(20),YES,,NULL,
transaction_file,varchar(255),YES,,NULL,
partie_versante,varchar(255),YES,,NULL,
payment_slip_id,varchar(20),YES,,NULL,
year,int,YES,,NULL,
place_id,varchar(20),YES,,NULL,
start_at,datetime,YES,,NULL,
end_at,datetime,YES,,NULL,
transaction_type_id,varchar(20),YES,,NULL,
rubrique_id,varchar(20),YES,,NULL,
n_decision,varchar(255),YES,,NULL,
observation,text,YES,,NULL,
month,int,YES,,NULL,
payement_slip_number,varchar(20),YES,,NULL,
