id,title,revenue_category_id
14,Vente des publications éditées par le ministère de la Culture ou pour son compte,0
15,test11/12/2024,0
16,Droit de visite Siel,0
17,Droit de visite SILEJ,0
18,Location des stands,0
19,Location pour prise de vues photographiques professionnelle,0
2,Droits de visite des monuments historiques et sites,0
3,Droits d’accès aux espaces culturels projetant les films cinématographiques,0
4,Location de salles,0
5,Droits d'inscription aux conservatoires de musique,0
6,Location pour prise de vues photographies,0
7,Location pour prise de vues cinématographiques,0
8,Recettes diverses (Excédent),0
9,Location de monuments historiques pour manifestations culturelles,0
